codigo,Estado en Web,articulo,descripcion,web,minimo,ultimoin,moneda,precio,familia,figaro,marca
CM-T3.6,1,CARGADOR  RAPIDO	TCLI16071,"Cargador RÁPIDO<br>
Voltaje: 16.8V<br>
Voltaje de entrada nominal: 100V-240V ~ 50 / 60Hz<br>
Carga batería de 16.8V 1.5Ah en 2Hr<br>
Adecuado para un total de herramientas múltiples de 16,8 V<br>
Embalado en caja de cartón",t35,6,1,USD,8.5,TOTAL,CARGADOR  RAPIDO	TCLI16071,
CM-T3.7,1,CARGADOR 16.8 VOLTS 1.5AMP	TOCLI228180,"Voltaje de carga: 220V-240V ~ 50 / 60Hz<br>
Tiempo de carga: cargador 2H<br>
Coincidencia con TOTAL TDLI228180 y TIDLI228180 y TIDLI228181 y UTDLI228180 y UTIDLI228180 y UTIDLI228181<br>
Embalado en caja de cartón",T37,6,1,USD,8.4,TOTAL,CARGADOR 16.8 VOLTS 1.5AMP	TOCLI228180,
CM-T3.9,1,ROTO MARTILLO 1050W IMPACTO  TH110286,"Voltaje: 220-240V ~ 50 / 60Hz<br>
Potencia de entrada: 1050 W<br>
Velocidad sin carga: 900 rpm<br>
Tasa de impacto: 4000bpm<br>
Energía de impacto: 5J<br>
Capacidad de perforación máx .:<br>
&nbsp;Hormigón: 28 mm<br>
&nbsp;Acero: 13mm<br>
&nbsp;Madera: 40mm<br>
Sistema de portabrocas SDS plus<br>
Con 3 taladros y 2 cinceles.<br>
Embalaje en valija plástica",,2,1,USD,106,TOTAL,ROTO MARTILLO 1050W IMPACTO  TH110286,
CM-T3.10,1,GARLOPA CEPILLO 1050 W 1600RPM	TL1108236,"Voltios: 220-240V ~ 50 / 60Hz<br>
Potencia de entrada: 1050 W<br>
Velocidad sin carga: 16000 rpm<br>
Ancho y profundidad de cepillado: 82x3 mm<br>
Base de aluminio resistente<br>
Alunimun cubierta lateral<br>
Sistema de correa autoenfriable<br>
Con 2 piezas de cuchillas de cepillado<br>
Con 1pcs cinturón<br>
Con 1 juego de guía paralela<br>
Con guía de profundidad de 1 pieza<br>
Embalado en caja de cartón",T310,2,1,USD,95,TOTAL,GARLOPA CEPILLO 1050 W 1600RPM	TL1108236,
CM-T3.11,1,EQUIPO PINTAR HVLP PISTOLA 500W	TT5006-2,"Voltaje: 220-240V ~ 50 / 60Hz<br>
Potencia de entrada: 500 W<br>
Presión de pulverización: 0.1-0.2Bar<br>
Flujo máximo: 850 ml / min<br>
Max. viscosidad: 50DIN-s<br>
Longitud del cable de alimentación: 2.0m<br>
Envase de aluminio 800ml<br>
Accesorios:<br>
1x vaso medidor de viscosidad<br>
1x aguja de limpieza de boquilla<br>
1x correa para el hombro<br>
Embalado en caja de cartón",T311,2,1,USD,57,TOTAL,EQUIPO PINTAR HVLP PISTOLA 500W	TT5006-2,
CM-T3.12,1,MINI TORNO CON EXTENSIËN	 TG501032,"Voltaje: 220V-240V ~ 50 / 60Hz<br>
Potencia de entrada: 130 W<br>
Velocidad sin carga: 10000-32000 rpm<br>
Tamaño del collar: 3.2 mm<br>
Control de velocidad variable<br>
Con 1 pieza de eje flexible<br>
Con accesorios : punteros de varios tipos, 100pcs<br>
Embalado en valija plástica",T312,2,1,USD,34,TOTAL,MINI TORNO CON EXTENSIËN	 TG501032,
CM-T3.13,1,PISTOLA CALOR 200W CON ACCESORIOS	TB1206,"Voltaje: 220-240 volt<br>
Potencia: 2000w<br>
Temperatura: 350°c/550°c<br>
Flujo de aire: 300/500 L/min<br>
Empuñadura ergonómica soft grip<br>
Incluye una rasqueta y 4 boquillas",TB1206,2,1,USD,24,TOTAL,PISTOLA CALOR 200W CON ACCESORIOS	TB1206,
CM-T3.14,1,TALADRO DE BANCO 13MM 	TDP133501,"Voltaje: 220-240V ~ 50Hz<br>
Potencia de entrada: 350 W<br>
Capacidad de perforación máx .: 13 mm<br>
Velocidad sin carga: 580-2650 rpm<br>
Ajustes de velocidad del husillo: 5<br>
Husillo traval: 50 mm<br>
Diámetro de la columna: 46 mm<br>
Mesa de trabajo ajustable<br>
Tamaño de la mesa: 160 * 160 mm<br>
Tamaño base: 291 * 183 mm<br>
Peso neto: 19Kgs<br>
Altura de la máquina: 590 mm<br>
Embalado en caja de cartón",T314,2,1,USD,159,TOTAL,TALADRO DE BANCO 13MM 	TDP133501,
CM-T3.15,1,SIERRA INGLETADORA 1400W TS42142101,"Voltaje: 220-240V ~ 50 / 60Hz<br>
Potencia de entrada: 1400 W<br>
Velocidad sin carga: 5000 rpm<br>
Tamaño de la hoja: 210 mm (8-1 / 4 &quot;&quot;) * 25.4 mm<br>
Base de aluminio<br>
Capacidad máxima de corte: 55x120 mm<br>
La bolsa para el polvo mantiene limpia el área de trabajo<br>
La ingletadora corta 0-45 ° a izquierda y derecha<br>
Bisel permite cortes hasta 45 ° a la izquierda<br>
Con 1 sierra TCT<br>
Embalado en caja de cartón",42142101,2,1,USD,134,TOTAL,SIERRA INGLETADORA 1400W TS42142101,
CM-T3.16,1,SIERRA INGLETADORA 1800W TS42182551,"Voltaje: 220-240V ~ 50 / 60Hz<br>
Potencia de entrada: 1800 W<br>
Velocidad sin carga: 5500 rpm<br>
Tamaño de la hoja: 255 mm (10 &quot;&quot;) * 25.4 mm<br>
Base de aluminio<br>
Capacidad máxima de corte: 80x280 mm<br>
La bolsa para el polvo mantiene limpia el área de trabajo<br>
La ingletadora permite cortes 0-45 ° a izquierda y derecha<br>
El bisel permite cortes hasta 45 ° a la izquierda<br>
Doble barra para deslizamiento suave<br>
Con 1 pieza de cuchilla TCT<br>
Embalado por caja de cartón",T316,2,1,USD,270,TOTAL,SIERRA INGLETADORA 1800W TS42182551,
CM-T3.17,1,PISTOLA DE PINTAR 15MM 400CC	TAT10401,"Boquilla estándar: 1.5 mm<br>
Ancho del patrón: 180-250 mm<br>
Capacidad de pintura: 400cc<br>
Adecuado para capa base<br>
Boquilla opcional: 1.2-1.8 mm<br>
Presión de funcionamiento: 3-4 bar<br>
Contras de aire: 4.2-7.1cfm (119-200l / min)<br>
Embalado en caja de cartón",,,1,USD,18,TOTAL,PISTOLA DE PINTAR 15MM 400CC	TAT10401,
CM-T3.18,1,PISTOLA DE PINTAR 1.4MM 600CC	TAT10601,"Boquilla estándar: 1.4 mm<br>
Ancho del patrón: 180-250 mm<br>
Capacidad de pintura: 600cc<br>
Adecuado para acabado de capa<br>
Boquilla opcional: 1.3-2.5 mm<br>
Presión de funcionamiento: 2-3.5bar<br>
Contras de aire: 4.2-7.1cfm (119-200l / min)<br>
Embalado por caja de color",,,1,USD,27,TOTAL,PISTOLA DE PINTAR 1.4MM 600CC	TAT10601,
CM-T3.19,1,CLAVADORA ENGRAP. NEUMATICA TAT81501,"Capacidad de carga: 100 grapas<br>
Tamaño permitido: 15-50 mm<br>
Ga18,1.25X1.0mm<br>
Tamaño de la grapa: 16-40 mm<br>
Ga18,1.25X1.0mm<br>
Corona de grapas: 5,7 mm<br>
Presión de operación: 0.4-0.7Mpa (60-100Psi)<br>
Con 1000pcs clavos brad<br>
Con 1000 piezas de grapas<br>
Embalado en caja de cartón",,,1,USD,56,TOTAL,CLAVADORA ENGRAP. NEUMATICA TAT81501,
CM-T3.20,1,CONTROL PRESION AUTOM. 10 BAR TWPS101,"Tensión nominal: 220-240 V<br>
Frecuencia: 50 / 60Hz<br>
Presión fija: 1.5bar<br>
Corriente máx .: 10A<br>
Presión máx .: 10 bar<br>
Diámetro de la tubería: 1 '' x1 ''<br>
Grado de protección: IP65<br>
Embalaje: caja de cartón",,,1,USD,43,TOTAL,CONTROL PRESION AUTOM. 10 BAR TWPS101,
CM-T3.22,1,BOMBA SUMERGIBLE AGUA 750W TWP87501,"Voltaje: 220V-240 ~ 50Hz<br>
Potencia de entrada: 750W (1.0HP)<br>
Max.head: 8m<br>
Flujo máximo: 13000L / h<br>
Profundidad máxima: 7m<br>
Diámetro de la tubería: 1&quot;<br>
Con cables de 9 m<br>
Embalaje: caja de cartón",,,1,USD,73,TOTAL,BOMBA SUMERGIBLE AGUA 750W TWP87501,
CM-T3.23,1,HIDROLAVADORA 1400W  GT11316,"Voltaje: 220-240V ~ 50 / 60Hz<br>
Motor eléctrico bobina de alambre de cobre puro<br>
Potencia de entrada: 1400 W<br>
Presión máxima: 130 bar (1900 psi)<br>
Velocidad de flujo: 5.5L / min<br>
Sistema de detención automático<br>
Incluye : juego de pistola de agua y manguera de alta presión de 5 m<br>
Embalaje: caja de cartón",,,1,USD,110,TOTAL,HIDROLAVADORA 1400W  GT11316,
CM-T3.24,1,HIDROLAVADORA INDUSTRIAL 1800W TGT11356,"Voltaje: 220-240V ~ 50 / 60Hz<br>
Motor eléctrico bobina de alambre de cobre puro<br>
Potencia de entrada: 1800 W<br>
Presión máxima: 150 bar (2200 psi)<br>
Velocidad de flujo: 6.0L / min<br>
Sistema de parada automática<br>
Botella de jabón 1pcs<br>
Incluye : juego de pistola de agua y manguera de alta presión de 5 m<br>
Embalaje: caja de cartón",,,1,USD,168,TOTAL,HIDROLAVADORA INDUSTRIAL 1800W TGT11356,
CM-T3.25,1,MECHAS PARED/ METAL+PTAS 16 PZ TACSD3165,"Juego de 16 PCS de brocas y juegos de destornilladores<br>
6 - Brocas (mechas) helicoidales HSS de <br>
TAMAÑO: 2,3,3.5,4,5,6mm<br>
4 Brocas (mechas) de albañilería<br>
TAMAÑO: 4,5,6,8mm<br>
6 puntas de destornillador de 25 mm<br>
SL4.5, SL5.5, PH1, PH2, PZ1, PZ2<br>
Embalaje: blister",,,1,USD,5.25,TOTAL,MECHAS PARED/ METAL+PTAS 16 PZ TACSD3165,
CM-T3.26,1,MECHAS PARED CONCRETO 5 PZ TAC190501,"KIT SDS PLUS DE 5 PIEZAS <br>
Medidas: 6X110mm, 8X110mm, 10X110mm, 10X160mm, 12X160mm<br>
Embalado en caja de plástico",,,1,USD,8,TOTAL,MECHAS PARED CONCRETO 5 PZ TAC190501	,
CM-T3.27,1,MECHAS METAL 12 PZAS	TACSD0125,"Juego de 12 brocas (mechas) helicoidales HSS <br>
Tamaños: 2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,8 mm<br>
Embalaje: blister",,,1,USD,5,TOTAL,MECHAS METAL 12 PZAS	TACSD0125,
CM-T3.29,1,DISCO CORTE 115X1.2MM X10PZ,"Juego de 10 10pcs / set<br>
115MM (4 / 1/2 &quot;&quot;) X1.2MM （3/64 &quot;&quot;） X22.2MM (7/8 &quot;&quot;)<br>
Centro plano<br>
disco de corte para metal<br>
Embalado por caja de metal",TAC2211005,10,1,USD,5.7,TOTAL,DISCO CORTE 115X1.2MM X10PZ,
CM-T3.30,1,KIT 250 PZAS P/MINI TORNO 	TACSD12501,"250pcs Accesorios de mini taladro<br>
Disco de corte 76pcs<br>
60 piezas de papel de lija<br>
Muela abrasiva de goma 1pcs<br>
Muela 10pcs con vástago<br>
Rueda de pulido de goma 4pcs<br>
5 piezas de ruedas de fieltro<br>
1 pieza de punto de rueda de fieltro<br>
Rueda de tela 1pcs<br>
Banda de lijado 39pcs<br>
Cepillo 6pcs<br>
7 piezas de brocas de diamante<br>
2 piezas de grabado<br>
4 piezas de mandril<br>
2 piezas de mango de lijado<br>
6 piezas de brocas Hss<br>
4 piezas de pinzas<br>
Rueda de aleta 1pcs<br>
Llave 1pcs<br>
1pcs aderezo de piedra<br>
Compuesto de pulido 2pcs<br>
12 piezas ruedas giratorias<br>
5 piezas de ruedas de corte de fibra de vidrio<br>
Embalado por caja de plástico",,,1,USD,31,TOTAL,KIT 250 PZAS P/MINI TORNO 	TACSD12501,
CM-T3.31,1,DISCO 4.5 FLAP TOTAL GRANO 60 TAC631152,"Tamaño: 115 mm * 22 mm, P60<br>
Adecuado para acero alto, acero, hierro fundido y chapa de acero<br>
Embalaje: exhibidor de cartón",,,1,USD,1.75,TOTAL,DISCO 4.5 FLAP TOTAL GRANO 60 TAC631152,
CM-T3.32,1,DISCO 4.5 FLAP TOTAL GRANO 80 TAC631153,"Tamaño: 115 mm * 22 mm, P80<br>
Adecuado para acero alto, acero, hierro fundido y chapa de acero<br>
Embalaje: exhibidor de cartón",,,1,USD,1.65,TOTAL,DISCO 4.5 FLAP TOTAL GRANO 80 TAC631153,
CM-T3.33,1,DISCO LIJA PULIDORA 5PC 150MM	TAC731501,"Tamaño: 150 mm<br>
3 piezas P80, 2 piezas P120<br>
5pcs / set<br>
Apta para lijadora orbital TOTAL artículo TF2041501<br>
Embalaje: exhibidor de cartón",,,1,USD,2,TOTAL,DISCO LIJA PULIDORA 5PC 150MM	TAC731501,
CM-T3.34,1,"PINZAS Y ALICATE JGO X3 6""7""8"" THT1K0301","Compuesto por: <br>
Alicates combinados de 8&quot;<br>
Alicates de punta larga de 6&quot;<br>
Alicates de corte diagonal de 6&quot;<br>
Aceite polaco y antioxidante<br>
Asa bicolor<br>
Embalaje: exhibidor de cartón",,,1,USD,14.2,TOTAL,"PINZAS Y ALICATE JGO X3 6""7""8"" THT1K0301",
CM-T3.35,1,DESTORNILLADORES JUEGO 6PZAS THT250606,"Juego de destornilladores de 6 piezas<br>
TOTAL nuevo mango ergonómico<br>
Material: CR-V<br>
Cuerpo cilíndrico , compuesto por <br>
1 piezas SL5.5 * 5 * 75<br>
1 piezas SL5.5 * 5 * 100<br>
1 piezas SL6.5 * 6 * 150<br>
1 piezas PH1 * 5 * 75<br>
1 piezas PH1 * 5 * 100<br>
1 piezas PH2 * 6 * 150<br>
Embalaje: exhibidor de cartón",,,1,USD,8,TOTAL,DESTORNILLADORES JUEGO 6PZAS THT250606,
CM-T3.37,1,CRICKET Y DADOS JUEGO 12 PZAS	THT141121,"Juego de cricket 12PCS 1/2&quot;<br>
Compuesto por: <br>
Soporte de 10 piezas: 10,11,12,13,14,15,17,19,21,24mm<br>
Mango de cricket de liberación rápida 1&quot; 1/2&quot; 72T<br>
1 barra de extensión de 5&quot;<br>
Acero CrV 50BV30 de alta calidad<br>
Micro acabado y cromado<br>
Embalado en soporte plástico",,,1,USD,31,TOTAL,CRICKET Y DADOS JUEGO 12 PZAS	THT141121,
CM-T3.38,1,SARGENTO CARPINTERO 5X20CM THT1320502,"Prensa sargento<br>
Tamaño de la abrazadera: 50x200 mm<br>
Fuerza de sujeción máxima: 170 kg<br>
Espesor y ancho de la regla de hierro: 5X15 mm<br>
Diámetro de la rosca: 11 mm.",,,1,USD,5.2,TOTAL,SARGENTO CARPINTERO 5X20CM THT1320502,
CM-T3.39,1,SARGENTO CARPINTERO 5X30CM THT1320801,"Prensa sargento<br>
Tamaño de la abrazadera: 80x300mm<br>
Fuerza máxima de sujeción: 270KGS<br>
Espesor y ancho de la regla de hierro: 6X22 mm<br>
Diámetro de la rosca: 13.5 mm.",,,1,USD,10,TOTAL,SARGENTO CARPINTERO 5X30CM THT1320801,
CM-T3.40,1,SARGENTO CARPINTERO 12X40CM THT1321202,"Prensa sargento<br>
Tamaño de la abrazadera: 120x400 mm<br>
Fuerza máxima de sujeción: 450KGS<br>
Espesor y ancho de la regla de hierro: 8X30 mm<br>
Diámetro de la rosca: 15.3 mm.",,,1,USD,14.5,TOTAL,SARGENTO CARPINTERO 12X40CM THT1321202,
CM-T3.41,1,"MORZA DE BANCO 4""	THT6146","Prensa de banco 4&quot;<br>
Tamaño de la base giratoria: 4&quot;<br>
Peso: 6.7kg<br>
Fuerza máxima: 1300 kg<br>
Con el yunque<br>
Embalaje: caja de cartón",,,1,USD,50,TOTAL,"MORZA DE BANCO 4""	THT6146",
CM-T3.42,1,"MORZA DE BANCO 6""	THT6166","Prensa de banco 6&quot;<br>
Tamaño de la base giratoria: 6&quot;<br>
Peso: 11,2 kg<br>
Fuerza máxima: 1600KGS<br>
Con el yunque<br>
Embalaje: caja de cartón",,,1,USD,82,TOTAL,"MORZA DE BANCO 6""	THT6166",
CM-T3.43,1,"MORZA DE BANCO 8""	THT6186","Prensa de banco 8&quot;<br>
Peso: 21kg.<br>
Fuerza máxima de sujeción: 2500KGS<br>
Con el yunque<br>
Embalaje: caja de cartón",,,1,USD,139,TOTAL,"MORZA DE BANCO 8""	THT6186",
CM-T3.44,1,"SERRUCHO 12"" TOTAL	THT59126B","Mango ergonómico nuevo diseño<br>
Longitud: 300 mm （12&quot;）<br>
Espesor: 0.8 mm, 11TPI<br>
Con protector de dientes<br>
Tratamiento térmico",,,1,USD,6,TOTAL,"SERRUCHO 12"" TOTAL	THT59126B",
CM-T3.45,1,"SERRUCHO E INGLETADORA  12""	THT59126","Caja de ingletes de plástico con serrucho <br>
Compuesta por : caja de inglete de plástico<br>
Tamaño: 300 × 140 × 80<br>
espesor: 20 mm<br>
Serrucho 30cm &nbsp;<br>
Tamaño: 300 mm / 12&quot;, 11TPI<br>
Mango ergonómico nuevo diseño",,,1,USD,12,TOTAL,"SERRUCHO E INGLETADORA  12""	THT59126",
CM-T3.48,1,LIMAS MATRICERO SET 6 PZAS	THT91462,"Juego de 6 limas <br>
Longitud: 140 mm<br>
Diámetro: 3 mm<br>
Plano, redondo, medio redondo, cuadrado, triángulo, cuchillo<br>
Con mango de dos colores.<br>
Embalaje: blister",,,1,USD,4.4,TOTAL,LIMAS MATRICERO SET 6 PZAS	THT91462,
CM-T3.49,1,SOLDADOR TIPO LAPIZ 40W ESTAÐO	TET1406,"Soldador eléctrico <br>
Voltaje: 220-240V ~ 50 / 60Hz<br>
Potencia de entrada: 40 W<br>
Tiempo de precalentamiento: 3 ~ 5 minutos<br>
Recto, cabeza de punta<br>
Con una pieza de apoyo<br>
Punta reemplazable de larga vida<br>
Embalaje: blister",,,1,USD,8.4,TOTAL,SOLDADOR TIPO LAPIZ 40W ESTAÐO	TET1406,
CM-T3.50,1,SOLDADOR TIPO LAPIZ 100W ESTAÐO	TET10006,"Soldador eléctrico <br>
Voltaje: 220-240V ~ 50 / 60Hz<br>
Potencia de entrada: 100 W<br>
Tiempo de precalentamiento: 3 ~ 5 minutos<br>
Recto, cabeza de punta<br>
Con una pieza de apoyo<br>
Punta reemplazable de larga vida<br>
Embalaje: blister",,,1,USD,11.7,TOTAL,SOLDADOR TIPO LAPIZ 100W ESTAÐO	TET10006,
CM-45.5,1,ANAFE DE INDUCCIÓN,,455,,1,USD,49,BAZAR,ANAFE DE INDUCCIËN 20Z	,
CM-45.6,1,LNB X1 STAR COM,,,6,1,USD,5,ELECTRONICA,LNB STAR COM SR 320	,
CM-45.7,1,PARLANTE BLUETOOTH 2T,,457,2,1,USD,17,ELECTRONICA,PARLANTE BLUETOOTH 2T	,
CM-45.8,1,PARLANTE BLUETOOTH AK,,458,3,1,USD,28,ELECTRONICA,PARLANTE BLUETOOTN AK203	,
CM-45.10,1,CARGADOR PARA TABLET 5V 2A,"Fuente cargador para tablet<br>
Modelo WF-3000<br>
Entrada: 100/240 V 50/60Hz 0.5A<br>
Salida: 5 V DC, 2A<br>
Presentación: en caja individual, apta para exhibidor.",36105,2,1,USD,3.3,ELECTRONICA,TRANSFORMADOR 6-3,
CM-45.11,1,CARGADOR TABLET 6.0V 2.0A,"Cargador para tablet<br>
6.0V, 2.0A<br>
cable con conexión USB<br>
Presentación: en bolsa zip, apta para exhibidor.",4511,12,1,USD,1.8,ELECTRONICA,CARGADOR T/IPHONE +CABLE 7100,
CM-45.12,1,SOPORTE CELULAR PARA BICICLETA,,4512,6,1,USD,3.4,ELECTRONICA,SOPORTE CELULAR BICICLETA CH01	,
CM-45.13,1,CONTROL REMOTO UNIVERSAL,,4513,3,1,USD,5,ELECTRONICA,CONTROL REMOTO SMART UNIV. ES903	,
CM-45.14,1,AUDIFONO RECARGABLE P/SORDO,,4514,2,1,$,1100,ORTOPEDIA,AUDIFONO SORDO RECARGABLE 1088F	,
CM-45.15,1,BICICLETA FIJA ERGOMETRICA,,4515,2,1,$,2695,DEPORTES,BICICLETA FIJA ERGOMETRICA 131	,
CM-45.16,1,PELOTA PILATES FITNESS,,4516,4,1,$,290,DEPORTES,PELOTAS PILATE FITNESS SW75	,
CM-45.17,1,COLCHONETA YOGA,Medidas: 1.83 x 61 x 1 cm,4517,3,1,$,380,DEPORTES,YOGA COLCHONETA MAT MY183	,
CM-45.18,1,PALO SATARIN,"Varios colores <br>
Hecho de metal forrado en Goma Eva para un excelente agarre antideslizante<br>
Medidas: 100 x 25.5 cm <br>
Regatón de base anti delizante.",42143,2,1,$,549,JUGUETERIA,PALO SALTARIN SW	,
CM-45.19,1,LAMPARA DE MESA,Lámpara de mesa con llave en cable.,4519,4,1,$,275,ELECTRONICA,LAMPARA MESA MODERNA CC8	,
CM-45.20,1,LAMPARA DE MESA,Lámpara de mesa con llave en el cable.,4520,3,1,$,820,ELECTRONICA,LAMPARA MESA MODERNA CC8	,
CM-45.21,1,PICADORA DE CARNE,,4521,2,1,USD,55,BAZAR,PICADORA DE CARNE ELECTRICA 204	,
CM-45.22,1,MOPA GIRATORIA 360,,4522,,1,USD,11,BAZAR,MOPA GIRATORIA 360 178-55	,
CM-45.23,1,MOLDE TORTA X4 DESMONTABLE,,4523,3,1,USD,14,BAZAR,MOLDE TORTA DESMONTABLE SET X4 1135	,
CM-45.24,1,COCINILLA ELECTRICA ANAFE,,4524,3,1,$,355,BAZAR,COCINILLA ANAFE ELECTRICA 1000W DIDJ102	,
CM-T2.25,1,SOPLADOR ASPIRADOR 400W,"Voltaje: 220-240v/50-60hz<br>
Potencia: 400W<br>
Velocidad sin carga: 0 - 16000 rpm<br>
Velocidad máxima de soplado: 0 - 3.5 m3/min<br>
Velocidad variable<br>
Incluye 1 recolector de polvo<br>
Embalado en caja",TB2046,2,1,USD,22,TOTAL,,
CM-T2.23,1,LIJADORA ORBITAL,"Voltaje / Frecuencia: 220-240 volt / 50-60 Hz<br>
Potencia: 320 Watt.<br>
Velocidad:14000 rpm<br>
Tamaño de la Base: 185 x 93 mm<br>
Base de Aluminio.<br>
Incluye: 5 lijas<br>
Envasado en Caja de Carton",TF1301826,2,1,USD,48,TOTAL,LIJADORA ORBITAL 320W TF1301826,
CM-T2.8,1,TALADRO PERCUTOR 1010W,"Voltaje:220~240V / 50Hz<br>
Potencia: 1100 watt<br>
Velocidad : 0-2800 rpm<br>
Capacidad de mandril: 13mm<br>
Velocidad Variable<br>
Reversa<br>
Percutor<br>
Caja de Engranajes de Aluminio<br>
Empuñadura ergonomica Soft-Grip",TG111136,2,1,USD,67,TOTAL,TALADRO PERCUTOR 1010W 13MM TG111136,